external_id,name,slug,parent_external_id,has_shipping,has_brand,metadata
465,Odjeća i obuća,odjeca-i-obuca,,1,1,"{""id"":465,""name"":""Odjeća i obuća"",""name_singular"":""Odjeća i obuća"",""slug"":""odjeca-i-obuca"",""parent_id"":null,""order"":11,""desktop_order"":11,""top_category"":true,""highlighted"":false,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":4,""icon"":""clothes"",""show_stories"":false}"
171,Sportska oprema,sportska-oprema,,1,1,"{""id"":171,""name"":""Sportska oprema"",""name_singular"":""Sportska oprema"",""slug"":""sportska-oprema"",""parent_id"":null,""order"":12,""desktop_order"":12,""top_category"":true,""highlighted"":true,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":5,""icon"":""sports-equipment"",""show_stories"":false}"
896,Hrana i piće,hrana-i-pice,,1,1,"{""id"":896,""name"":""Hrana i piće"",""name_singular"":""Hrana i piće"",""slug"":""hrana-i-pice"",""parent_id"":null,""order"":14,""desktop_order"":14,""top_category"":true,""highlighted"":false,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":null,""show_stories"":false}"
68,Nakit i Satovi,nakit-i-satovi,,1,1,"{""id"":68,""name"":""Nakit i Satovi"",""name_singular"":""Nakit i Satovi"",""slug"":""nakit-i-satovi"",""parent_id"":null,""order"":16,""desktop_order"":16,""top_category"":true,""highlighted"":true,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":null,""show_stories"":false}"
208,Životinje,zivotinje,,0,1,"{""id"":208,""name"":""Životinje"",""name_singular"":""Životinje"",""slug"":""zivotinje"",""parent_id"":null,""order"":18,""desktop_order"":18,""top_category"":true,""highlighted"":false,""shipping_available"":false,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":false,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":""pets"",""show_stories"":false}"
276,Ljepota i Zdravlje,ljepota-i-zdravlje,,1,1,"{""id"":276,""name"":""Ljepota i Zdravlje"",""name_singular"":""Ljepota i Zdravlje"",""slug"":""ljepota-i-zdravlje"",""parent_id"":null,""order"":20,""desktop_order"":20,""top_category"":true,""highlighted"":false,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":null,""show_stories"":false}"
371,Bebe,bebe,,1,1,"{""id"":371,""name"":""Bebe"",""name_singular"":""Bebe"",""slug"":""bebe"",""parent_id"":null,""order"":22,""desktop_order"":22,""top_category"":true,""highlighted"":false,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":4,""icon"":null,""show_stories"":false}"
283,Igre i igračke,igre-i-igracke,,1,1,"{""id"":283,""name"":""Igre i igračke"",""name_singular"":""Igre i igračke"",""slug"":""igre-i-igracke"",""parent_id"":null,""order"":24,""desktop_order"":24,""top_category"":true,""highlighted"":false,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":null,""show_stories"":false}"
289,Video igre,video-igre,,1,1,"{""id"":289,""name"":""Video igre"",""name_singular"":""Video igre"",""slug"":""video-igre"",""parent_id"":null,""order"":26,""desktop_order"":26,""top_category"":true,""highlighted"":false,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":2,""icon"":null,""show_stories"":false}"
67,Muzička oprema,muzicka-oprema,,1,1,"{""id"":67,""name"":""Muzička oprema"",""name_singular"":""Muzička oprema"",""slug"":""muzicka-oprema"",""parent_id"":null,""order"":28,""desktop_order"":28,""top_category"":true,""highlighted"":false,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":null,""show_stories"":false}"
